state	Year	Quarter	Index	Standard Error
AR	2010	2	163.95
AR	2010	3	165.08
AR	2010	4	162.82
AR	2011	1	162.06
AR	2011	2	162.38
AR	2011	3	161.23
AR	2011	4	162.88
AR	2012	1	163.98
AR	2012	2	160.91
AR	2012	3	164.54
AR	2012	4	165.74
AR	2013	1	165.73
AR	2013	2	166.83
AR	2013	3	164.33
AR	2013	4	164.21
AR	2014	1	166.87
AR	2014	2	166.05
AR	2014	3	168.14
AR	2014	4	167.92
AR	2015	1	170.40
AR	2015	2	169.06
AR	2015	3	171.19
AR	2015	4	172.13
AR	2016	1	170.51
AZ	1995	1	100.00
AZ	1995	2	103.82
AZ	1995	3	104.18
AZ	1995	4	104.88
AZ	1996	1	107.90
AZ	1996	2	107.42
AZ	1996	3	109.87
AZ	1996	4	112.07
AZ	1997	1	113.93
AZ	1997	2	113.46
AZ	1997	3	116.28
AZ	1997	4	118.33
AZ	1998	1	120.02
AZ	1998	2	119.99
AZ	1998	3	120.40
AZ	1998	4	123.66
AZ	1999	1	125.81
AZ	1999	2	124.94
AZ	1999	3	124.54
AZ	1999	4	128.29
AZ	2000	1	127.32
AZ	2000	2	128.32
AZ	2000	3	130.37
AZ	2000	4	132.32
AZ	2001	1	134.82
AZ	2001	2	137.29
AZ	2001	3	136.67
AZ	2001	4	139.82
AZ	2002	1	141.51
AZ	2002	2	141.50
AZ	2002	3	142.82
AZ	2002	4	144.94
AZ	2003	1	145.54
AZ	2003	2	146.67
AZ	2003	3	148.27
AZ	2003	4	150.30
AZ	2004	1	151.82
AZ	2004	2	154.47
AZ	2004	3	159.17
AZ	2004	4	164.20
AZ	2005	1	169.71
AZ	2005	2	178.87
AZ	2005	3	187.59
AZ	2005	4	198.75
AZ	2006	1	211.77
AZ	2006	2	219.02
AZ	2006	3	226.50
AZ	2006	4	233.63
AZ	2007	1	239.30
AZ	2007	2	243.09
AZ	2007	3	239.39
AZ	2007	4	239.92
AZ	2008	1	236.11
AZ	2008	2	232.49
AZ	2008	3	222.17
AZ	2008	4	217.35
AZ	2009	1	219.10
AZ	2009	2	209.22
AZ	2009	3	196.30
AZ	2009	4	190.12
AZ	2010	1	184.15
AZ	2010	2	179.83
AZ	2010	3	165.47
AZ	2010	4	165.70
AZ	2011	1	158.19
AZ	2011	2	150.66
AZ	2011	3	151.96
AZ	2011	4	151.24
AZ	2012	1	148.09
AZ	2012	2	149.11
AZ	2012	3	155.43
AZ	2012	4	154.77
AZ	2013	1	155.07
AZ	2013	2	157.31
AZ	2013	3	160.05
AZ	2013	4	164.11
AZ	2014	1	166.72
AZ	2014	2	167.70
AZ	2014	3	166.80
AZ	2014	4	171.69
AZ	2015	1	176.36
AZ	2015	2	180.79
AZ	2015	3	181.89
AZ	2015	4	187.92
AZ	2016	1	184.17
CA	1995	1	100.00
CA	1995	2	100.63
CA	1995	3	103.29
CA	1995	4	103.42
CA	1996	1	104.08
CA	1996	2	102.38
CA	1996	3	102.17
CA	1996	4	102.67
CA	1997	1	104.32
CA	1997	2	102.54
CA	1997	3	103.94
CA	1997	4	106.09
CA	1998	1	106.99
CA	1998	2	107.96
CA	1998	3	107.90
CA	1998	4	109.91
CA	1999	1	109.96
CA	1999	2	110.95
CA	1999	3	112.45
CA	1999	4	114.43
CA	2000	1	117.97
CA	2000	2	120.57
CA	2000	3	123.84
CA	2000	4	127.06
CA	2001	1	131.71
CA	2001	2	136.30
CA	2001	3	139.48
CA	2001	4	141.60
CA	2002	1	146.16
CA	2002	2	150.94
CA	2002	3	156.89
CA	2002	4	160.81
CA	2003	1	164.40
CA	2003	2	168.86
CA	2003	3	175.34
CA	2003	4	183.75
CA	2004	1	190.37
CA	2004	2	200.31
CA	2004	3	214.64
CA	2004	4	223.31
CA	2005	1	233.64
CA	2005	2	248.43
CA	2005	3	260.23
CA	2005	4	269.39
CA	2006	1	274.64
CA	2006	2	277.64
CA	2006	3	277.91
CA	2006	4	276.18
CA	2007	1	275.71
CA	2007	2	273.26
CA	2007	3	266.70
CA	2007	4	260.46
CA	2008	1	255.24
CA	2008	2	244.20
CA	2008	3	230.36
CA	2008	4	224.96
CA	2009	1	224.28
CA	2009	2	211.39
CA	2009	3	203.55
CA	2009	4	198.59
CA	2010	1	190.90
CA	2010	2	186.47
CA	2010	3	184.19
CA	2010	4	182.27
CA	2011	1	172.30
CA	2011	2	166.84
CA	2011	3	164.84
CA	2011	4	164.76
CA	2012	1	163.08
CA	2012	2	159.59
CA	2012	3	163.65
CA	2012	4	164.04
CA	2013	1	165.53
CA	2013	2	171.27
CA	2013	3	175.09
CA	2013	4	180.17
CA	2014	1	183.06
CA	2014	2	187.83
CA	2014	3	189.29
CA	2014	4	191.43
CA	2015	1	193.95
CA	2015	2	200.20
CA	2015	3	204.13
CA	2015	4	208.59
CA	2016	1	208.68
CO	1995	1	100.00
CO	1995	2	101.55
CO	1995	3	104.05
CO	1995	4	105.65
CO	1996	1	107.90
